sku,name,cost,sell_price,stock
10381,SELECTOR SWITCH 2POSITION -DB2-BD21,0.000,0.000,0.000
STHS100,"SELF TAPING HEX SCREWS 4""",0.030,0.000,110.000
SMDP-5,SMD PANEL 100A TP MCCB+63+63A W INDICATOR+V/A MTER,0.000,0.000,0.000
SMDP-19,SMD PANEL MAIN MCCB 160A TP+2x100A TP,0.000,0.000,0.000
281132,SW SOCKET 5A - MALLIA WH,6.000,0.000,0.000
281006,SWITCH 10A 4G 1W - MALLIA WH,2.750,0.000,0.000
617007,SWITCH 10A 4G 2W - BELENKO,1.300,0.000,0.000
281052,SWITCH 20A 2G 1W - MALLIA WH,1.450,0.000,0.000
281053,SWITCH 20A 2G 2W - MALLIA WH,1.750,0.000,0.000
281054,SWITCH 20A 3G 1W - MALLIA WH,2.350,0.000,0.000
281255,SWITCH 20A 3G 2W  - MALLIA SILVER,3.100,0.000,0.000
281055,SWITCH 20A 3G 2W - MALLIA WH,2.850,0.000,0.000
VN6612MBG,SWITCH METALIC 10A 1G 1W  GOLD / BSS- RR/VIVAN,0.000,0.000,5.000
VN66M1G2W,SWITCH METALIC 10A 1G 2W GOLD / BSS- RR/VIVAN,0.000,0.000,0.000
Y302CF,SWITCH METALIC 10A 1G 2W GOLDEN BRB - HAILAR,0.000,0.000,0.000
VN6615MBG,SWITCH METALIC 10A 2G 1W  GOLD / BSS- RR/VIVAN,0.000,0.000,5.000
VN6677MBG,SWITCH METALIC 10A 3G 1W  GOLD / BSS- RR/VIVAN,0.000,0.000,5.000
SKU-3375,Shipping,0.000,0.000,4.000
TCL012,TELEPHONE CABLE  12 CORE,0.000,0.000,0.000
TCL016,TELEPHONE CABLE  16 CORE,0.000,0.000,0.000
TCL006,TELEPHONE CABLE  6 CORE,0.000,0.000,0.000
TCL008,TELEPHONE CABLE  8 CORE,0.000,0.000,0.000
SKU-3182,ULTIMATE FLOOR DATA SOCKET,0.000,0.000,0.000
SKU-3181,ULTIMATE FLOOR TV SOCKET,0.000,0.000,0.000
VT1200,VIKING TERMINAL 120MM,0.000,0.000,0.000
VT0350,VIKING TERMINAL 35MM,1.100,0.000,6.000
VT0500,VIKING TERMINAL 50MM,0.000,0.000,0.000
VT0700,VIKING TERMINAL 70MM,0.000,0.000,0.000
WCN&BM,W.C SEAT COVER NUT & BOLT MATT,0.800,0.000,4.000
WCCAI,WC CONNECTOR SOFT ADJ. - ITALY,1.300,0.000,3.000
WNCE5,WIRE NUT CONNECTOR 4.0MM YELLOW - E5,0.030,0.000,500.000
WN075,"WOOD NAIL 3""",0.000,0.000,0.000
ND22-2,WP ENCLOSURE FOR SKT DOUBLE IP66 - XETEX,0.000,0.000,0.000
MCIS0633-1,WP METALCLAD ISOLATOR  63A TPN - SCHNEIDER,0.000,0.000,0.000
